Company,Date,Open,High,Low,Close,Adj Close,Volume
Tesla,1/3/2011,5.368,5.4,5.18,5.324,5.324,6415000
Tesla,1/4/2011,5.332,5.39,5.204,5.334,5.334,5937000
Tesla,1/5/2011,5.296,5.38,5.238,5.366,5.366,7233500
Tesla,1/6/2011,5.366,5.6,5.362,5.576,5.576,10306000
Tesla,1/7/2011,5.6,5.716,5.58,5.648,5.648,11239500
Tesla,1/10/2011,5.634,5.736,5.61,5.69,5.69,6713500
Tesla,1/11/2011,5.718,5.742,5.384,5.392,5.392,8551000
Tesla,1/12/2011,5.402,5.48,5.304,5.392,5.392,4822000
Tesla,1/13/2011,5.392,5.394,5.232,5.244,5.244,3618000
Tesla,1/14/2011,5.23,5.316,5.122,5.15,5.15,5960000
Tesla,1/18/2011,5.096,5.128,4.95,5.128,5.128,8108500
Tesla,1/19/2011,5.054,5.094,4.75,4.806,4.806,11857500
Tesla,1/20/2011,4.806,4.89,4.474,4.524,4.524,11399500
Tesla,1/21/2011,4.624,4.718,4.542,4.608,4.608,6085000
Tesla,1/24/2011,4.706,4.962,4.646,4.898,4.898,8225500
Tesla,1/25/2011,4.93,4.978,4.804,4.936,4.936,6357500
Tesla,1/26/2011,4.942,4.976,4.82,4.95,4.95,5399500
Tesla,1/27/2011,4.948,5.016,4.906,4.984,4.984,4478500
Tesla,1/28/2011,4.976,4.976,4.75,4.802,4.802,5242000
Tesla,1/31/2011,4.81,4.824,4.7,4.82,4.82,4151500
Tesla,2/1/2011,4.862,4.946,4.708,4.782,4.782,3539000
Tesla,2/2/2011,4.832,4.836,4.734,4.788,4.788,2847500
Tesla,2/3/2011,4.764,4.78,4.63,4.726,4.726,2560000
Tesla,2/4/2011,4.688,4.734,4.644,4.692,4.692,2720000
Tesla,2/7/2011,4.652,4.652,4.576,4.614,4.614,4475500
Tesla,2/8/2011,4.756,5.05,4.6,4.898,4.898,17524500
Tesla,2/9/2011,4.826,4.836,4.558,4.642,4.642,13178000
Tesla,2/10/2011,4.652,4.728,4.562,4.644,4.644,4180500
Tesla,2/11/2011,4.65,4.75,4.588,4.65,4.65,3172500
Tesla,2/14/2011,4.728,4.828,4.61,4.616,4.616,6415500
Tesla,2/15/2011,4.602,4.634,4.512,4.568,4.568,4768500
Tesla,2/16/2011,4.62,4.994,4.614,4.946,4.946,20575500
Tesla,2/17/2011,4.926,5.098,4.71,4.72,4.72,13092000
Tesla,2/18/2011,4.666,4.698,4.592,4.636,4.636,11853500
Tesla,2/22/2011,4.576,4.6,4.356,4.374,4.374,10323000
Tesla,2/23/2011,4.436,4.5,4.222,4.366,4.366,8028000
Tesla,2/24/2011,4.356,4.516,4.3,4.506,4.506,5276500
Tesla,2/25/2011,4.562,4.77,4.538,4.722,4.722,6731500
Tesla,2/28/2011,4.748,4.82,4.7,4.778,4.778,5256000
Tesla,3/1/2011,4.81,4.864,4.74,4.788,4.788,5532000
Tesla,3/2/2011,4.764,4.856,4.746,4.804,4.804,3316500
Tesla,3/3/2011,4.896,4.958,4.812,4.872,4.872,3201000
Tesla,3/4/2011,4.896,4.998,4.756,4.99,4.99,7900500
Tesla,3/7/2011,4.986,5.08,4.94,4.988,4.988,10168000
Tesla,3/8/2011,4.92,4.992,4.8,4.932,4.932,6999500
Tesla,3/9/2011,4.932,4.998,4.854,4.944,4.944,4624000
Tesla,3/10/2011,4.888,4.898,4.746,4.802,4.802,5085000
Tesla,3/11/2011,4.77,4.85,4.706,4.814,4.814,4654000
Tesla,3/14/2011,4.764,4.8,4.64,4.65,4.65,5830000
Tesla,3/15/2011,4.44,4.592,4.36,4.59,4.59,6594000
Tesla,3/16/2011,4.572,4.65,4.538,4.564,4.564,5848500
Tesla,3/17/2011,4.648,4.686,4.528,4.562,4.562,4613000
Tesla,3/18/2011,4.638,4.638,4.502,4.592,4.592,3439500
Tesla,3/21/2011,4.61,4.61,4.508,4.546,4.546,2058500
