Company,Date,Open,High,Low,Close,Adj Close,Volume
Uber,5/10/2019,42,45,41.060001,41.57,41.57,186322500
Uber,5/13/2019,38.790001,39.240002,36.080002,37.099998,37.099998,79442400
Uber,5/14/2019,38.310001,39.959999,36.849998,39.959999,39.959999,46661100
Uber,5/15/2019,39.369999,41.880001,38.950001,41.290001,41.290001,36086100
Uber,5/16/2019,41.48,44.060001,41.25,43,43,38115500
Uber,5/17/2019,41.98,43.290001,41.27,41.91,41.91,20225700
Uber,5/20/2019,41.189999,41.68,39.459999,41.59,41.59,29222300
Uber,5/21/2019,42,42.240002,41.25,41.5,41.5,10802900
Uber,5/22/2019,41.049999,41.279999,40.5,41.25,41.25,9089500
Uber,5/23/2019,40.799999,41.09,40.02,40.470001,40.470001,11119900
Uber,5/24/2019,41.279999,41.509998,40.5,41.509998,41.509998,8786800
Uber,5/28/2019,41.700001,41.799999,40.599998,40.950001,40.950001,13391600
Uber,5/29/2019,40.52,40.709999,39.146999,39.939999,39.939999,14060400
Uber,5/30/2019,40.07,40.380001,39.5,39.799999,39.799999,26451900
Uber,5/31/2019,41.150002,41.57,39.41,40.41,40.41,23209800
Uber,6/3/2019,40.743999,41.849998,40.240002,41.25,41.25,16605300
Uber,6/4/2019,42.560001,42.880001,40.700001,42.75,42.75,23432100
Uber,6/5/2019,42.869999,45.66,42.5,45,45,28609600
Uber,6/6/2019,45,45.75,44.279999,44.919998,44.919998,16403700
Uber,6/7/2019,44.919998,45.669998,44.130001,44.16,44.16,12654700
Uber,6/10/2019,44.02,44.59,42.529999,42.610001,42.610001,11618700
Uber,6/11/2019,43.220001,43.650002,41.799999,42.450001,42.450001,9095000
Uber,6/12/2019,42.52,42.650002,41.709999,42.169998,42.169998,5965300
Uber,6/13/2019,43.049999,44.349998,42.799999,44.310001,44.310001,10178900
Uber,6/14/2019,44.75,44.799999,43.110001,43.23,43.23,7902200
Uber,6/17/2019,43.279999,44.078999,42.93,43.779999,43.779999,6557600
Uber,6/18/2019,44.299999,44.889999,43.75,43.860001,43.860001,7313600
Uber,6/19/2019,44.459999,45.5,43.950001,44.860001,44.860001,10331500
